1.336,1.19549,0.140509
2.581,2.85246,0.271458
2.236,2.47131,0.235314
1.292,1.15603,0.135972
3.165,2.83186,0.333145
0.511,0.564803,0.0538028
1.201,1.07453,0.126468
1.734,1.91664,0.182641
0.97,1.07218,0.102175
0.95,0.849873,0.100127
2.346,2.09847,0.247532
0.919,1.01602,0.0970205
1.617,1.78771,0.170714
1.219,1.34776,0.128763
1.05,0.938811,0.111189
1.875,1.67638,0.19862
1.277,1.14172,0.135275
2.452,2.71189,0.259895
0.872,0.964628,0.0926283
1.923,2.12734,0.204338
1.308,1.44732,0.139322
0.864,0.956057,0.0920575
2.624,2.34419,0.279811
2.628,2.34776,0.280239
0.476,0.526759,0.0507589
0.888,0.793287,0.0947127
2.872,2.56567,0.306331
0.719,0.795842,0.0768423
3.171,2.83202,0.338981
2.495,2.76173,0.266726
1.161,1.28523,0.124228
1.236,1.36827,0.13227
3.355,3.71423,0.359227
1.375,1.52236,0.147365
2.33,2.07989,0.250112
0.973,1.07748,0.104477
2.942,3.25791,0.315912
0.774,0.857144,0.0831439
0.847,0.755902,0.0910978
3.07,2.73938,0.330616
1.713,1.8975,0.184499
0.86,0.767292,0.0927078
4.119,3.67489,0.444106
2.633,2.34901,0.283988
1.281,1.14281,0.138193
1.144,1.02047,0.12353
1.467,1.30856,0.158442
2.391,2.13276,0.258238
1.054,0.940143,0.113857
4.123,3.67736,0.445639
